"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Address","Address"
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Catalogrequest %1","Catalogrequest %1"
"Catalogrequest Information","Catalogrequest Information"
"Catalogrequest to delete was not found.","Catalogrequest to delete was not found."
"Catalogrequest","Catalogrequest"
"Catalogrequests","Catalogrequests"
"City","City"
"Company/Division/Dept","Company/Division/Dept"
"Country","Country"
"Create New Catalogrequest","Create New Catalogrequest"
"Delete Catalogrequest","Delete Catalogrequest"
"Edit Catalogrequest '%1'","Edit Catalogrequest '%1'"
"Email Address","Email Address"
"First Name","First Name"
"How Did You Hear About Our Store?","How Did You Hear About Our Store?"
"ID","ID"
"Last Name","Last Name"
"New Catalogrequest","New Catalogrequest"
"Phone Number","Phone Number"
"Please Do NOT Add Me To The Ray Allen Mailing List","Please Do NOT Add Me To The Ray Allen Mailing List"
"Please Select Catalogrequests.","Please Select Catalogrequests."
"Postal Code","Postal Code"
"Save Catalogrequest","Save Catalogrequest"
"Save and Continue Edit","Save and Continue Edit"
"Something went wrong while saving the Catalogrequest.","Something went wrong while saving the Catalogrequest."
"State","State"
"The Catalogrequest has been deleted.","The Catalogrequest has been deleted."
"The Catalogrequest has been saved.","The Catalogrequest has been saved."
"This Catalogrequest no longer exists.","This Catalogrequest no longer exists."
"Title","Title"
